location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,population
Canada,2/27/2020,14,2,,,,,,,77,369,0.0276,36.2,,,,,,38067913
Canada,2/28/2020,15,1,,,,,,,,,0.022,45.5,,,,,,38067913
Canada,2/29/2020,21,6,,,,,,,,510,0.0365,27.4,,,,,,38067913
Canada,3/1/2020,26,5,,,,,,,125,635,0.0386,25.9,,,,,,38067913
Canada,3/2/2020,32,6,,,,,,,,,0.0469,21.3,,,,,,38067913
Canada,3/3/2020,37,5,,,,,,,,733,0.0496,20.2,,,,,,38067913
Canada,3/4/2020,42,5,,,,,,,,,0.0482,20.8,,,,,,38067913
Canada,3/5/2020,46,4,,,,,,,,1099,0.044,22.8,,,,,,38067913
Canada,3/6/2020,60,14,,,,,,,296,1395,0.0473,21.2,,,,,,38067913
Canada,3/7/2020,64,4,,,,,,,372,1767,0.0341,29.3,,,,,,38067913
Canada,3/8/2020,74,10,,,,,,,932,2699,0.0232,43,,,,,,38067913
Canada,3/9/2020,88,14,1,1,0,4,,,832,3531,0.0197,50.9,,,,,,38067913
Canada,3/10/2020,92,4,1,0,0,5,,,,,0.0159,62.9,,,,,,38067913
Canada,3/11/2020,127,35,1,0,0,5,,,,4846,0.0216,46.2,,,,,,38067913
Canada,3/12/2020,141,14,1,0,0,5,,,1893,6739,0.0168,59.4,,,,,,38067913
Canada,3/13/2020,213,72,1,0,1,7,,,3150,9889,0.018,55.5,,,,,,38067913
Canada,3/14/2020,236,23,1,0,2,9,,,3320,13209,0.015,66.5,,,,,,38067913
Canada,3/15/2020,296,60,1,0,2,9,,,4148,17357,0.0151,66,,,,,,38067913
Canada,3/16/2020,450,154,4,3,2,17,,,4519,21876,0.0197,50.7,,,,,,38067913
Canada,3/17/2020,532,82,6,2,6,22,,,5031,26907,0.0194,51.6,,,,,,38067913
Canada,3/18/2020,732,200,11,5,14,31,,,7286,34193,0.0206,48.5,,,,,,38067913
Canada,3/19/2020,921,189,11,0,16,42,,,8608,42801,0.0216,46.2,,,,,,38067913
Canada,3/20/2020,1175,254,15,4,24,52,,,7267,50068,0.0239,41.8,,,,,,38067913
Canada,3/21/2020,1653,478,19,4,31,68,,,8127,58195,0.0315,31.7,,,,,,38067913
Canada,3/22/2020,2045,392,22,3,35,76,,,10535,68730,0.034,29.4,,,,,,38067913
Canada,3/23/2020,2600,555,29,7,44,103,,,11147,79877,0.0371,27,,,,,,38067913
